,Product_Name,Publisher,Writer,Previous_Price,Discount,Current_Price,Gain,Kind,Page,ISBN,Cover
0,Eğitici Kartlar - Resimli Bulmacalar,Teleskop Popüler Bilim,Kolektif,"25,00",%50 indirim,"12,50","12,50",Zeka Gelişimi Kitapları,1,9786052520130,Ciltsiz
1,Psikoloji Nasıl Çalışır,Alfa Yayınları,Kolektif,"125,00",%35 indirim,"81,25","43,75",Popüler Kültür Kitapları,258,9786051068695,Ciltli
2,Eğitici Kartlar - Çocuklarla 100 Etkinlik,Teleskop Popüler Bilim,Kolektif,"25,00",%50 indirim,"12,50","12,50",Zeka Gelişimi Kitapları,1,9786052520154,Ciltsiz
3,Ejderha Laneti Nasıl Bozulur - Ejderhanı Nasıl Eğitirsin 4,Epsilon Yayınevi,Cressida Cowell,"33,50",%40 indirim,"20,10","13,40",Hikayeler,239,9786051735306,Ciltli
4,Ejderhaca Nasıl Konuşursun - Ejderhanı Nasıl Eğitirsin 3,Epsilon Yayınevi,Cressida Cowell,"33,50",%40 indirim,"20,10","13,40",Hikayeler,236,9786051735313,Ciltli
5,Tüm Eserleri - Oyunlar - Şi̇i̇rler - Mektuplar - Yazılar - Tutanaklar,Epsilon Yayınevi,Sabahattin Ali,"45,00",%40 indirim,"27,00","18,00",Türk Edebiyatı,520,9786051735245,Ciltli
6,Göklerin Ötesi,Artemis Yayınları,Serdar Özkan,"16,00",%35 indirim,"10,40","5,60",Roman,124,9786053044192,Ciltsiz
7,Kuşçubaşı Eşref Sencer,Kariyer Yayınları,Mehmet Kemal Erdoğan,"30,00",%32 indirim,"20,40","9,60",Roman,296,9786059916592,Ciltsiz
8,Süper Bulmaca ve Zeka Oyunları 6,Olimpos Yayınları,Kolektif,"15,00",%30 indirim,"10,50","4,50",Hobi Bilmeceler - Bulmacalar,128,9786059609746,Ciltsiz
9,Adı Yok Gençlik Kitap Edebiyat Dergisi Sayı: 87 - 2019 Kış,Carpe Diem Kitapları - Dergiler,Kolektif,"1,98",%17 indirim,"1,64","0,34",Diğer,44,3990000084796,Ciltsiz
10,Bab-ı Esrar (Midi Boy),Everest Yayınları,Ahmet Ümit,"14,90",%40 indirim,"8,94","5,96",Türk Edebiyatı,520,9786051853345,Ciltsiz
11,Dinler Tarihi Sözlüğü,Yediveren Yayınları,Ahmet Murat Seyrek,"20,00",%31 indirim,"13,80","6,20",Dinler Tarihi Kitapları,184,9786052690536,Ciltsiz
12,İzmler Sözlüğü,Yediveren Yayınları,Ahmet Murat Seyrek,"20,00",%31 indirim,"13,80","6,20",Diğer Tarih Kitapları ,168,9786052690529,Ciltsiz
